Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Visite guidée : Plantes sauvages comestibles et médicinales avec Vincent,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.227916,6.143524,Office de Tourisme 20 boulevard Henri Guerin,83390#Pierrefeu-du-Var,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-05-11,#+33 4 94 01 53 10#bienvenue@mpmtourisme.com#https://www.mpmtourisme.com/,,"Accompagné du guide naturaliste Vincent Blondel, découvrez les plantes sauvages du massif des Maures, apprenez à reconnaître les spécimens comestibles et comprenez leurs bienfaits.",https://data.datatourisme.gouv.fr/13/c43f91e7-6ccf-3337-b93b-39fcdcfa5dfc
Provence and Wine,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.056564,4.8299650000000005,1 rue de l'Eglise Provence and Wine,84230#Châteauneuf-du-Pape,,True,True,Office de tourisme Orange Châteauneuf,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-22,#+33 6 86 49 56 76#provenceandwine@gmail.com#https://www.provenceandwine.com/,,"Provençal, passionné de vins, diplômé de l’École du Vin de Paris, Romain vous propose de partager sa passion avec vous et de vous faire découvrir l'univers de la dégustation.",https://data.datatourisme.gouv.fr/13/68777898-1a21-34e6-b9fb-faa8b91a2c03
La Magnanerie de Saint-Isidore,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.18907,6.127794000000001,Vallée de Sauvebonne 9074 route de Pierrefeu,83400#Hyères,,True,True,Office de Tourisme Provence Méditerranée,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-31,#+33 4 94 28 20 55#contact@lamagnanerie.eu#http://www.lamagnanerie.eu/,,"Dans un vignoble familial à 15 minutes de la côte varoise, cette ancienne magnanerie, restaurée en associant tradition et modernité, propose ses espaces pour les réceptions professionnelles et privées. 360 personnes maximum.",https://data.datatourisme.gouv.fr/13/f3f91a77-9834-326e-92cd-9ae93b9cb0f5
Visite guidée groupe : Du bourg médiéval au Coron des Bormettes,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.116777,6.248335,"60 boulevard du Front de Mer Office de tourisme Intercommunal Cuers, Collobrières, Pierrefeu du Var, La Londe les Maures Port Miramar",83250#La Londe-les-Maures,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-05-28,#+33 4 94 01 53 10#bienvenue@mpmtourisme.com#https://www.mpmtourisme.com/,,Venez découvrir la cité ouvrière des Bormettes riche en histoire !,https://data.datatourisme.gouv.fr/13/b2b36317-0056-3a1b-82a6-71bc9277ea1e
Visite guidée : A la recherche du trésor de Gaoutabrix,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.171838,6.2388330000000005,"60 boulevard du Front de Mer Office de tourisme Intercommunal Cuers, Collobrières, Pierrefeu du Var, La Londe les Maures Port Miramar",83250#La Londe-les-Maures,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-08-03,#+33 4 94 01 53 10#bienvenue@mpmtourisme.com#https://www.mpmtourisme.com/,,"Découverte familiale du dolmen de Gaoutabry avec atelier de fouille archéologique permettant de comprendre la fonction du site, son histoire et la vie quotidienne des hommes du Néolithique.",https://data.datatourisme.gouv.fr/13/ff4d5539-42fb-3eaf-8173-730a501ceb4b
Visite guidée - Rando : Sur les pistes de Gaoutabry et de l'Histoire,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.116777,6.248335,"60 boulevard du Front de Mer Office de tourisme Intercommunal Cuers, Collobrières, Pierrefeu du Var, La Londe les Maures Port Miramar",83250#La Londe-les-Maures,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-04-12,#+33 4 94 01 53 10#bienvenue@mpmtourisme.com#https://www.mpmtourisme.com/,,"Grand randonneur ou marcheur occasionnel, arpentez les sentiers de notre territoire à la découverte d’une nature préservée et de panoramas à couper le souffle.",https://data.datatourisme.gouv.fr/13/dce8981b-59c7-3ba6-bdbf-853809f77803
SPORTRENT 1400,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,44.944883000000004,6.561788000000001,5 Place du Verney Route de Grenoble  D1091,05240#La Salle-les-Alpes,,True,True,Office de Tourisme de Serre Chevalier Briançon,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-14,#+33 4 92 45 16 43#contact@sport-rent.com#http://sport-rent.com/,,"Location de ski, VTT et vélos de route, mais également organisation d’activités en tout genre.",https://data.datatourisme.gouv.fr/13/4641b6a0-1f0d-3801-afd5-30a67b04c215
Visite commentée quotidienne du Jardin,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.156228999999996,6.4810620000000005,"Avenue Jacques Chirac (anciennement Avenue des Belges) Domaine du Rayol, Le Jardin des Méditerrannées",83820#Rayol-Canadel-sur-Mer,,True,True,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-06-10,#+33 4 98 04 44 00#info@domainedurayol.org#http://www.domainedurayol.org/,,"Tous les jours de l’année, des visites guidées, comprises dans le prix d’entrée, sont programmées. Accessibles et conviviales, elles vous permettent de développer un autre regard sur le jardinage et le monde végétal.",https://data.datatourisme.gouv.fr/13/48461c78-4802-3bbf-a2f7-1b56713f2e4d
SPORTRENT 1500,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,44.975964000000005,6.510819000000001,RD 1091 Place Stabatio,05220#Le Monêtier-les-Bains,,True,True,Office de Tourisme de Serre Chevalier Briançon,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-14,#+33 4 92 48 50 05#contact@sport-rent.com#http://www.sport-rent.com/,,"Location de ski, VTT et vélos de route, mais également organisation d’activités en tout genre.",https://data.datatourisme.gouv.fr/13/31396c6b-99a1-3898-acf0-2c6925db5212
Salle d'Exposition de la Mairie de Tourrettes,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.623796999999996,6.701625,1 place de la Mairie,83440#Tourrettes,,True,True,Office de Tourisme Intercommunal Pays de Fayence,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-16,#+33 4 94 39 07 20#m.guido@mairie-tourrettes-83.fr#http://www.mairie-tourrettes-83.fr/,,"Située idéalement sur la place de la Mairie, tout à coté du Bar à Vin La Vigne Vincent, et à deux pas du restaurant La Pause Tourrettane, la  salle d'Exposition de Tourrettes , accueille toute l'année artistes, expos diverses, de façon temporaire.",https://data.datatourisme.gouv.fr/13/575ec3a3-3dee-31e2-9c00-401d50f79ddd
Activ'Roc - Canyoning,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.663488,6.919159,9 bd Louis Barthou,06130#Grasse,,True,True,Tourisme Pays de Grasse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-21,#+33 6 81 37 91 66#contact@activroc.com#http://www.activroc.com/,,"Plongez dans l’aventure en pleine nature et vivez des sensations aquatiques dans les nombreux canyons de la région, tantôt aux eaux turquoises, parfois à la limite de la spéléologie ou à travers une végétation luxuriante… !",https://data.datatourisme.gouv.fr/13/ea53cd5a-2758-3cb5-b307-23d8d7aa93a6
Activ'Roc - Escalade,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.663488,6.919159,9 bd Louis Barthou,06130#Grasse,,True,True,Tourisme Pays de Grasse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-15,#+33 6 83 49 23 61#contact@activroc.com#http://www.activroc.com/,,"Laissez-nous vous guider, rien que pour le plaisir de voir plus loin et d’encore plus haut, d’élargir vos horizons.",https://data.datatourisme.gouv.fr/13/0be24a3e-af29-3ea4-b4bf-f35e68d086c8
Activ'Roc - Rando,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.663488,6.919159,9 bd Louis Barthou,06130#Grasse,,True,True,Tourisme Pays de Grasse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-15,#+33 6 73 87 12 79#contact@activroc.com#http://www.activroc.com/,,"De la demi-journée à la journée, pas à pas, la nature s’offre à vous, vivez l’émotion d’une randonnée au fil des saisons.",https://data.datatourisme.gouv.fr/13/4222a706-04bf-315b-83e8-3710f7246611
Cours d'équitation avec les Murettes.,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.486515000000004,6.639489,Route de Marchandise - La Bouverie,83520#Roquebrune-sur-Argens,,True,True,Office de tourisme de Roquebrune-sur-Argens,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-11-09,#+33 4 94 45 41 08<>+33 7 63 04 53 25#celesmurettes2@gmail.com#http://www.centreequestrelesmurettes.ffe.com/,,"C'est dans un cadre calme et agréable que propriétaires et cavaliers pourront pratiquer l'équitation de loisir ou de compétition encadrés par des moniteurs diplômés d'Etat.
Une cavalerie et un matériel adapté à chaque niveau.",https://data.datatourisme.gouv.fr/13/0e8fb4dd-5a58-377e-aaf0-30c6f1ed832e
Stage d'équitation avec Les Murettes,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.486515000000004,6.639489,Route de Marchandise - La Bouverie,83520#Roquebrune-sur-Argens,,True,True,Office de tourisme de Roquebrune-sur-Argens,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-06-02,#+33 4 94 45 41 08<>+33 7 63 04 53 25#celesmurettes2@gmail.com#http://www.centreequestrelesmurettes.ffe.com/,,Stages du cavalier débutant au cavalier confirmé.,https://data.datatourisme.gouv.fr/13/bd49f1c1-5d5a-3705-b2bf-fafb9a22835f
"Sortie enfant ""Dans la peau d'une sorcière""",https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.071478000000006,5.854015,Forêt de Janas,83500#La Seyne-sur-Mer,,True,True,Office de Tourisme Provence Méditerranée,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-15,#+33 4 94 07 02 21<>+33 4 94 63 11 74<>+33 4 94 63 61 69<>+33 4 98 00 25 70##https://www.tourisme-ouestvar.com/,,"Durée de la visite : 2 heures.
Faisons un plongeon dans le temps où les sorcières étaient des femmes qui connaissaient la nature et l'utilisaient pour soigner.",https://data.datatourisme.gouv.fr/13/102f5fc9-bc32-3ae1-9dab-1782347a3c93
"Sortie enfant ""Dans la peau d'un explorateur""",https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.071926,5.794713,"Corniche des Iles Paul Ricard, Le Brusc Lagune du Brusc",83140#Six-Fours-les-Plages,,True,True,Office de Tourisme Provence Méditerranée,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-18,#+33 4 94 07 02 21<>+33 4 94 63 11 74<>+33 4 94 63 61 69<>+33 4 98 00 25 70##https://www.tourisme-ouestvar.com/,,"Durée de la visite : 2h.
A l'aide d'un kit de chasseur d'indices nous partons à la découverte des secrets de la lagune du Brusc.",https://data.datatourisme.gouv.fr/13/1153f786-cc0d-35a5-91dd-7fb96973aae4
Randonnée avec un âne - La Belle ânerie,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.625,6.1784,Route de la Martégale,05260#Ancelle,,True,True,Office de Tourisme du Champsaur & Valgaudemar,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-15,#+33 6 09 93 32 65#labelleanerie@lilo.org#http://www.labelleanerie.fr/,,"Randonnée avec un âne porteur accompagné d'un accompagnateur en montagne ou en liberté, à la journée ou en itinérance (de 2 à 9 jours), des balades en autonomie (de 1h30 à 3h)… avec des itinéraires proposés.",https://data.datatourisme.gouv.fr/13/12f72c76-75a2-3403-a211-e8707daad83e
Initiation à la dégustation au Domaine Beauvalcinte,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.169831,5.06002,La Grange Neuve Domaine Beauvalcinte - Cave Bio,84190#Suzette,,True,True,Office de tourisme  Ventoux Provence Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-18,#+33 4 90 65 08 37#contacts@domainebeauvalcinte.com#http://www.domainebeauvalcinte.com/,,"Nous vous proposons de vous initier aux vins des Côtes du Rhône en développant vos sens : le toucher, l'odorat, la vue, le goût, l'ouïe et pour finir la réunion des cinq : la dégustation !",https://data.datatourisme.gouv.fr/13/7910557f-bf69-3510-85ae-ddfd38a4b2fd
Ventoux parapente,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.04006,5.394657,Hameau de St Jean de Sault,84390#Sault,,True,True,Office de Tourisme Intercommunal Ventoux Sud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-13,#+33 6 50 64 22 50#fly@ventoux-parapente.com#http://ventoux-parapente.com/,,Ventoux parapente vous propose des vols au départ de St Jean de Sault ou du sommet du Ventoux.,https://data.datatourisme.gouv.fr/13/7a573875-1a43-3154-95d1-6502b25dc593
Ile de Bendor : séminaires et congrès sur les Iles Paul Ricard,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.127672,5.749948000000001,Ile de Bendor,83150#Bandol,,True,True,Agence de Développement Touristique Var Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-19,#+33 4 94 10 66 66#service.commercial@ilespaulricard.com#https://www.lesilespaulricard.com/seminaire-evenement/,,"L’île de Bendor, avec ses 7 hectares, vous permet d'organiser des événements intimistes hors du commun : 6 salles de réception et de sous-commission, un hôtel 4* de 55 chambres et 8 villas, soit une capacité d’hébergement totale de 130 personnes.",https://data.datatourisme.gouv.fr/13/bf27dc28-34a3-3bc7-a4e6-86ce40359e3a
Découvrir Martigues par une chasse aux trésors,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.405875,5.047511,Office de Tourisme et des Congrès de Martigues Rond-point de l'Hôtel de Ville,13500#Martigues,,True,True,Office de Tourisme de Martigues,Provence Tourisme / Office de Tourisme de Martigues,2021-04-20,#+33 4 42 42 31 10#info@martigues-tourisme.com#http://www.chasseurs-de-tresors.com/martigues,,"Une box "" Chasseurs de Trésor "" renfermant plusieurs énigmes à résoudre en déambulant dans les trois quartiers de Martigues. 
Trouvez la phrase mystère et repartez avec votre récompense !",https://data.datatourisme.gouv.fr/58/7ad8f999-4cfb-3083-af7b-faf6d9a23633
Rand'eau douce,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.405875,5.047511,Office de Tourisme et des Congrès de Martigues Rond-point de l'Hôtel de Ville,13500#Martigues,,True,True,Office de Tourisme de Martigues,Provence Tourisme / Office de Tourisme de Martigues,2021-09-13,#+33 4 42 42 31 10#info@martigues-tourisme.com#http://www.martigues-tourisme.com/,,"Randonnée pédestre commentée, de 8 km en centre-ville, sur le thème de l’eau, des fontaines, des lavoirs et des puits.
Martigues est une ville entourée d'eau qui fût sa principale richesse durant de nombreux siècles, mais cette eau est salée.",https://data.datatourisme.gouv.fr/58/a9e53c48-cd87-3c2f-a23a-214266bdf819
Visite du centre d'information du public EDF,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.358453999999995,5.021095,Centrale thermique EDF Martigues-Ponteau La Villa Lotti,13500#Martigues,,True,True,Office de Tourisme de Martigues,Provence Tourisme / Office de Tourisme de Martigues,2021-06-30,#+33 4 42 35 56 00<>+33 6 28 45 21 84#centrale-martigues@edf.fr#http://www.edf.com/,,"C'est un lieu incontournable et attrayant pour tout savoir sur les enjeux énergétiques d'aujourd'hui, les différents modes de production d'électricité, les aspects environnementaux et le fonctionnement du Cycle Combiné Gaz.",https://data.datatourisme.gouv.fr/58/c089a347-e099-3c49-8312-3d67da03ffc0
Biodiversité des marais des Baux,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.706837,4.789186,"2, boulevard Marceau Parc naturel régional des Alpilles",13210#Saint-Rémy-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-01-26,#+33 4 90 90 44 00##,,"Dans le cadre de la Journée Mondiale des Zones Humides, le Parc naturel régional des Alpilles vous propose une visite des Marais des Baux.",https://data.datatourisme.gouv.fr/58/c62a9528-26de-3495-8597-c079e858fe83
Villa Carmignac - Exposition 2021 - La Mer Imaginaire,https://www.datatourisme.gouv.fr/ontology/core#CulturalEvent|https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#Exhibition|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/ExhibitionEvent|http://schema.org/Product,42.999286,6.211653,Piste de la Courtade Porquerolles,83400#Hyères,,True,True,Office de Tourisme Provence Méditerranée,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-20,#+33 4 65 65 25 50#fondation@carmignac.com#http://www.fondationcarmignac.com/,,"Pour sa quatrième saison, la Fondation Carmignac invite Chris Sharp, commissaire américain basé à Mexico à concevoir la prochaine exposition de la Villa Carmignac sur l’île de Porquerolles.",https://data.datatourisme.gouv.fr/13/c6a89350-305d-3cbf-a505-b0aeae72828e
Balade en quad et dégustation de vins au Château de l'Aumérade avec Quad Var,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.251486,6.148803,Château de l'Aumérade Route de Puget-Ville,83390#Pierrefeu-du-Var,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-04-08,#+33 4 94 01 53 10#bienvenue@mpmtourisme.com#https://www.mpmtourisme.com/,,"Votre balade en quad et dégustation de vins au Château de l'Aumérade avec Quad Var à tarif réduit avec l'offre Amusez-vous, exclusivement dans votre office de tourisme de La Londe les Maures",https://data.datatourisme.gouv.fr/13/cf290fbe-a594-3367-a11a-a470530be210
Immersion en terres provençales au Château de l'Aumérade,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.251767,6.1486529999999995,Château de l'Aumérade Route de Puget-Ville,83390#Pierrefeu-du-Var,,True,False,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2019-09-18,#+33 4 94 28 20 31#boutique@aumerade.com#http://www.aumerade.com/fr/,,"Laissez-vous guider à travers plus de 400 ans histoire vigneronne : découverte des jardins, présentation du Château et son histoire, visite de la cave et explication de la vinification.",https://data.datatourisme.gouv.fr/13/625a0784-b10d-384d-8401-1967eb70f756
Visite guidée : huiles et agrumes au domaine du Jasson.,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.149908,6.228046,680 route de Collobrières Domaine du Jasson RD 88,83250#La Londe-les-Maures,,True,False,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2020-03-18,#+33 4 94 66 90 26<>+33 6 03 53 01 59<>+33 7 68 53 35 24#contact@domaine-du-jasson.com#http://www.domaine-du-jasson.com/,,"Bienvenue sur le Domaine du JASSON, propriété appartenant à la famille CARRA depuis 1867.
 Après un long passé viticole, Pierre CARRA, passionné d'arboriculture, transforma 13 hectares du domaine en un verger d'oliviers.",https://data.datatourisme.gouv.fr/13/dfbb1738-b00e-3681-a9c5-dcad5980c950
Nidaix,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.477478000000005,5.370137000000001,1330 rue Jean René Guillibert Gauthier de la Lauzière Europarc Pichaury C2,13290#Aix-en-Provence,,True,True,Office de Tourisme d'Aix en Provence,Provence Tourisme / Office de Tourisme d'Aix en Provence,2021-06-09,#+33 6 10 65 05 89#hello@nidaix.com#https://www.centre-affaires-aix-en-provence.fr/,,"Un centre d'affaires à Aix-en-Provence qui développe la productivité, bienvenue au Nidaix.",https://data.datatourisme.gouv.fr/58/7c26267b-5fc7-315f-9ee2-faa26d7f47f7
