Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
"Sentier ""Le Pierredon""",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.277541,6.5219309999999995,Parking du Moulin Saint Roch,83310#Grimaud,,True,True,Office de tourisme de Grimaud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-19,#+33 4 94 55 43 83##http://bit.ly/CirkwiGrimaud,,"Vous découvrirez le vallon de la Garde où 3 moulins à eau antérieurs au XVIIe siècle et aujourd’hui disparus, ainsi qu’un moulin à vent, fournissaient la farine aux gens du pays. Une charmante vallée bordée d’oliviers s’offre à vous.",https://data.datatourisme.gouv.fr/13/64b8f57e-cf63-3241-9ec9-afbb521fab8a
"Sentier ""Vallon du Pont des Fées""",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.277375,6.522007,Parking du Moulin Saint Roch,83310#Grimaud,,True,True,Office de tourisme de Grimaud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-13,#+33 4 94 55 43 83#info@grimaud-provence.com#http://bit.ly/CirkwiGrimaud,,"A deux pas du village de Grimaud, dominé par son Château donnant vue sur le Golfe de Saint Tropez, cette boucle vous permettra d’admirer le patrimoine naturel et historique.",https://data.datatourisme.gouv.fr/13/6dc5812c-aea5-38b9-b4e5-acbc01e23c44
"Sentier ""La Calade""",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.277378000000006,6.521881,Parking du Moulin Saint Roch,83310#Grimaud,,True,True,Office de tourisme de Grimaud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-19,#+33 4 94 55 43 83##http://bit.ly/CirkwiGrimaud,,"Découvrez les collines bordant le torrent de La Garde ainsi que l’ancienne route montant au village, en passant par l’Oratoire Saint-Joseph.",https://data.datatourisme.gouv.fr/13/cf6a4a73-6397-32ca-b12d-b35d85bd79f0
Autour du canal de Craponne à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.674344,4.618018,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/autour-du-canal-de-craponne-a-velo/,,Facile,https://data.datatourisme.gouv.fr/58/b8945ee3-a775-35de-b244-040b3403ea80
"A vélo, de la Crau aux Marais du Vigueirat",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.558391,4.728295,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/a-velo-de-la-crau-aux-marais-du-vigueirat/,,Très facile,https://data.datatourisme.gouv.fr/58/c9b3b1bc-0c6e-3529-addf-f68a6d6e2eef
"A vélo, le long de la ViaRhôna",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.656978,4.621305,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-11-23,###http://www.cheminsdesparcs.fr/velo/a-velo-le-long-de-la-viarhona/,,Facile,https://data.datatourisme.gouv.fr/58/ca3e0ff0-593a-3000-be5c-b59e23147b5a
Le chemin des taureaux et de la vigne à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.674864,4.628064,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/le-chemin-des-taureaux-et-de-la-vigne-a-velo/,,Facile,https://data.datatourisme.gouv.fr/58/ea70194c-2ad3-3557-b0dc-329e07fb08ca
Balade au cœur des marais du Verdier,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.525064,4.705617,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/pedestre/balade-au-coeur-des-marais-du-verdier/,,Très facile,https://data.datatourisme.gouv.fr/58/b83157f1-fea8-3e8f-9a42-0d92cc98d9cc
"Salin-de-Giraud, ""notre histoire en Camargue""",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.416534000000006,4.734925,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/pedestre/salin-de-giraud-notre-histoire-en-camargue/,,Facile,https://data.datatourisme.gouv.fr/58/34d93786-d4e3-3a6d-b426-e31cfac77abc
"A la découverte du Vaccarès, en vélo",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.674845,4.628,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-11-23,###http://www.cheminsdesparcs.fr/velo/a-la-decouverte-du-vaccares-en-velo/,,Facile,https://data.datatourisme.gouv.fr/58/1eda09d5-9259-3ddf-8ab9-d17cb1af423f
Entre rizières et roselières sur le sentier du Pont de Rousty,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.623936,4.528706,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/pedestre/entre-rizieres-et-roselieres-sur-le-sentier-du-pont-de-rousty/,,Facile,https://data.datatourisme.gouv.fr/58/586c3506-3cab-3388-be34-2b86db6bc4a6
La digue du Petit-Rhône,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.59102,4.465502,Arles,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/pedestre/la-digue-du-petit-rhone/,,Très facile,https://data.datatourisme.gouv.fr/58/e2ac1c39-f5d0-381e-9eb4-1ed4bd29bf20
Vers la plage de Salin-de-Giraud,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.675167,4.6266110000000005,Arles,13200#Arles,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-05-21,,,"Une belle route en voiture de 116km. Barrages, rizières, marais, canaux : cette étendue solaire et sauvage a été façonnée par la rencontre entre deux géants,
la Méditerranée et le Rhône.",https://data.datatourisme.gouv.fr/58/4d7925d1-0492-36e5-8aba-5da9ede1d348
"Bouches-du-Rhône en Paysages - Mallemort, entre terroir et paysage",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.729805999999996,5.17725,Place Raoul Coustet,13370#Mallemort,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-04-12,#+33 4 90 57 41 62#contact@mallemortdeprovence.com#http://www.tourisme-mallemortdeprovence.com/,,"Une agréable promenade au sein du vieux village de Mallemort, alliant découverte culturelle et paysages provençaux typique. Idéale pour les familles.",https://data.datatourisme.gouv.fr/58/bbd42eb4-eada-33fb-b993-4cc327463a78
LAMANON - Autour de Calès,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.708342,5.082383999999999,"2, boulevard Marceau",13113#Eyguières,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-02-05,#+33 4 90 90 44 00#contact@parc-alpilles.fr#http://www.parc-alpilles.fr/,,"Une balade originale mêlant vestiges historiques, sous-bois et vues imprenables sur les Alpilles.",https://data.datatourisme.gouv.fr/58/c581c635-6714-341c-8c46-2e19f9472745
LAMANON - Autour de Calès,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.708342,5.082383999999999,"2, boulevard Marceau",13113#Eyguières,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-04-19,#+33 4 90 90 44 00#contact@parc-alpilles.fr#http://www.parc-alpilles.fr/,,"Une balade originale mêlant vestiges historiques, sous-bois et vues imprenables sur les Alpilles.",https://data.datatourisme.gouv.fr/58/6eb69765-eaa7-3405-ac43-9903cfb0f2ad
LAMANON - Autour de Calès,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.708342,5.082383999999999,"2, boulevard Marceau",13113#Eyguières,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-05-04,#+33 4 90 90 44 00#contact@parc-alpilles.fr#http://www.parc-alpilles.fr/,,"Une balade originale mêlant vestiges historiques, sous-bois et vues imprenables sur les Alpilles.",https://data.datatourisme.gouv.fr/58/c7523ab2-2c46-32ed-ad02-fdbfbc32b753
LAMANON - Autour de Calès,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.708342,5.082383999999999,"2, boulevard Marceau",13113#Eyguières,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 90 44 00#contact@parc-alpilles.fr#http://www.parc-alpilles.fr/,,"Une balade originale mêlant vestiges historiques, sous-bois et vues imprenables sur les Alpilles.",https://data.datatourisme.gouv.fr/58/9cc7e392-b3da-367b-9f2e-d668a468dde2
Chemin des Trémaïé,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.744197,4.798493,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-01-27,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Venez observer des oiseaux redescendus des hauteurs pour hiverner dans ces rochers, sur l'un des meilleurs sites touristiques de France !",https://data.datatourisme.gouv.fr/58/c5a02f1e-4804-33e4-af5c-7ade58f87618
LES BAUX-DE-PROVENCE - Les crêtes de Baumayrane,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.748742,4.7958989999999995,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Partez du pied des Baux-de-Provence, et gagnez le toit des Alpilles par la paisible piste des Lombards !",https://data.datatourisme.gouv.fr/58/f3527b0f-a499-36f5-ad36-3fe68c892798
Le Val d'Enfer,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.745940999999995,4.796855,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-01-21,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,Partez à la découverte des paysages évoquant l'Enfer de Dante en parcourant le Val d'Enfer !,https://data.datatourisme.gouv.fr/58/87169d0c-a4ea-343c-b507-a3f7cf170836
The Baumayrane ridges,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.748742,4.7958989999999995,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-01-21,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Partez du pied des Baux-de-Provence, et gagnez le toit des Alpilles par la paisible piste des Lombards !",https://data.datatourisme.gouv.fr/58/8441b472-bbdd-3bb7-9680-48883b1f5bf1
LES BAUX-DE-PROVENCE - Le Val d'Enfer,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.745940999999995,4.796855,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-05-04,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,Partez à la découverte des paysages évoquant l'Enfer de Dante en parcourant le Val d'Enfer !,https://data.datatourisme.gouv.fr/58/482cfea7-fa6f-3ecd-81b1-c14f1911fc3f
LES BAUX-DE-PROVENCE - Les crêtes de Baumayrane,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.748742,4.7958989999999995,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-04-19,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Partez du pied des Baux-de-Provence, et gagnez le toit des Alpilles par la paisible piste des Lombards !",https://data.datatourisme.gouv.fr/58/81f78d44-1d1f-3f77-8b4d-39f7ef14beec
LES BAUX-DE-PROVENCE - Le Val d'Enfer,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.745940999999995,4.796855,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-04-19,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,Partez à la découverte des paysages évoquant l'Enfer de Dante en parcourant le Val d'Enfer !,https://data.datatourisme.gouv.fr/58/97d3e96c-0e11-33ff-8dba-5779096f64ec
LES BAUX-DE-PROVENCE - Les crêtes de Baumayrane,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.748742,4.7958989999999995,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-05-04,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Partez du pied des Baux-de-Provence, et gagnez le toit des Alpilles par la paisible piste des Lombards !",https://data.datatourisme.gouv.fr/58/b0bc3991-0395-33f6-9249-c762974fb1a0
LES-BAUX-DE-PROVENCE - Chemin des Trémaïé,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.744197,4.798493,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-04-19,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Venez observer des oiseaux redescendus des hauteurs pour hiverner dans ces rochers, sur l'un des meilleurs sites touristiques de France !",https://data.datatourisme.gouv.fr/58/14d2f013-b326-36ca-b0ee-738545491e7b
LES-BAUX-DE-PROVENCE - Chemin des Trémaïé,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.744197,4.798493,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-05-04,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Venez observer des oiseaux redescendus des hauteurs pour hiverner dans ces rochers, sur l'un des meilleurs sites touristiques de France !",https://data.datatourisme.gouv.fr/58/2aeba377-7940-3991-8e69-ac307a57ee7c
LES BAUX-DE-PROVENCE - Le Val d'Enfer,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.745940999999995,4.796855,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,Partez à la découverte des paysages évoquant l'Enfer de Dante en parcourant le Val d'Enfer !,https://data.datatourisme.gouv.fr/58/9871d15e-4613-37c3-88fb-4403c15814d1
LES-BAUX-DE-PROVENCE - Chemin des Trémaïé,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.744197,4.798493,"Rue Porte Mage, Maison du Roy",13520#Les Baux-de-Provence,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 54 34 39<>+33 4 90 90 44 00#tourisme@lesbauxdeprovence.com<>contact@parc-alpilles.fr#http://www.lesbauxdeprovence.com/<>http://www.parc-alpilles.fr/,,"Venez observer des oiseaux redescendus des hauteurs pour hiverner dans ces rochers, sur l'un des meilleurs sites touristiques de France !",https://data.datatourisme.gouv.fr/58/dbb46e8f-f91c-3dec-87d4-c909a6712193
Sentier Randonner Autrement - Au fil de l'eau,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.598083,5.960416,"coopérative oléicole ""La Varageoise"" place de la Libération (parking)",83670#Varages,,True,True,Provence Verte & Verdon Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-21,#+33 4 94 77 20 01#barjols@provenceverteverdon.fr#http://www.provenceverdon.fr/economie-tourisme-culture/sentiers-de-randonnee-pedagogiques/sentier-de-brue-auriac-220/,,"Déroulez les époques en suivant l'eau, fil d'Ariane du circuit, omniprésente dans le paysage et l'histoire du village. Croisez fontaines, anciens moulins, canaux, ruisseau, lavoirs et remontez à la source (la Foux)",https://data.datatourisme.gouv.fr/13/dbf6dd99-2219-384b-9675-a4776058a009
